murX,murY,murZ,rightfemurX,rightfemurY,rightfemurZ,murX,murY,murZ,murX,murY,murZ,leftfemurX,leftfemurY,leftfemurZ,murX,murY,murZ,murX,murY,murZ,upperspineX,upperspineY,upperspineZ,neckX,neckY,neckZ,sphnosetipX,sphnosetipY,sphnosetipZ,sphheadtopX,sphheadtopY,sphheadtopZ,leftshoulderX,leftshoulderY,leftshoulderZ,leftelbowX,leftelbowY,leftelbowZ,leftwristX,leftwristY,leftwristZ,rightshoulderX,rightshoulderY,rightshoulderZ,rightelbowX,rightelbowY,rightelbowZ,rightwristX,rightwristY,rightwristZ
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,0.01,0.0,149.37,0.03,0.0,171.8,-0.08,17.38,188.21,-0.08,5.88,209.71,-18.41,1.04,166.3,-23.59,-4.05,135.59,-9.74,22.13,129.22,18.53,0.03,166.58,23.31,-3.61,135.6,8.36,22.23,130.45
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,0.0,0.03,149.37,-0.01,0.08,171.8,-0.12,17.54,188.12,-0.22,6.15,209.68,-18.44,1.22,166.27,-23.6,-3.92,135.56,-9.59,22.17,129.15,18.53,0.29,166.73,23.86,-1.8,135.69,7.21,23.45,133.82
0.0,-0.14,113.91499999999999,12.77,-0.14,113.92,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.91,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.03,0.09,149.37,-0.08,0.23,171.8,-0.2,17.78,188.0,-0.41,6.54,209.64,-18.49,1.48,166.23,-23.63,-3.74,135.53,-9.42,22.22,129.05,18.5,0.63,166.9,24.43,0.34,135.91,6.06,24.37,137.63
0.0,-0.14,113.91499999999999,12.77,-0.14,113.92,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.91,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.05,0.13,149.37,-0.14,0.35,171.8,-0.27,18.01,187.88,-0.61,6.91,209.59,-18.53,1.71,166.18,-23.62,-3.58,135.49,-9.23,22.27,128.95,18.48,0.95,167.08,24.97,2.7,136.24,5.02,24.84,141.7
0.0,-0.14,113.91,12.77,-0.14,113.92,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.9,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.07,0.18,149.37,-0.2,0.48,171.79,-0.33,18.24,187.75,-0.8,7.3,209.54,-18.57,1.96,166.13,-23.63,-3.41,135.45,-9.04,22.32,128.86,18.45,1.29,167.26,25.48,5.21,136.75,4.2,24.8,145.79
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.09,0.23,149.37,-0.27,0.61,171.79,-0.4,18.47,187.63,-0.99,7.68,209.49,-18.61,2.2,166.09,-23.64,-3.23,135.41,-8.85,22.36,128.76,18.42,1.63,167.45,25.93,7.76,137.42,3.67,24.27,149.67
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.11,0.28,149.37,-0.34,0.74,171.79,-0.49,18.7,187.5,-1.2,8.06,209.43,-18.66,2.43,166.03,-23.63,-3.08,135.36,-8.67,22.4,128.65,18.38,1.96,167.63,26.27,10.23,138.21,3.43,23.38,153.15
0.0,-0.14,113.91,12.77,-0.14,113.93,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.89,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.13,0.32,149.37,-0.39,0.85,171.79,-0.54,18.9,187.39,-1.36,8.4,209.38,-18.69,2.64,165.99,-23.63,-2.94,135.32,-8.5,22.43,128.57,18.35,2.26,167.79,26.53,12.47,139.07,3.47,22.3,156.1
0.0,-0.14,113.91499999999999,12.77,-0.14,113.94,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.89,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.15,0.35,149.37,-0.44,0.95,171.79,-0.6,19.07,187.29,-1.51,8.69,209.33,-18.72,2.82,165.94,-23.62,-2.82,135.28,-8.36,22.46,128.49,18.32,2.51,167.93,26.69,14.38,139.91,3.7,21.19,158.43
0.0,-0.14,113.91499999999999,12.77,-0.14,113.94,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.89,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.16,0.38,149.37,-0.48,1.02,171.78,-0.64,19.21,187.21,-1.63,8.92,209.3,-18.74,2.96,165.91,-23.61,-2.72,135.25,-8.24,22.48,128.43,18.29,2.71,168.03,26.79,15.86,140.64,4.0,20.24,160.11
0.0,-0.14,113.91499999999999,12.77,-0.14,113.94,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.89,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.17,0.4,149.37,-0.51,1.07,171.78,-0.67,19.29,187.16,-1.7,9.06,209.27,-18.76,3.05,165.89,-23.6,-2.66,135.23,-8.17,22.49,128.4,18.27,2.84,168.1,26.83,16.81,141.13,4.25,19.59,161.14
0.0,-0.14,113.91499999999999,12.77,-0.14,113.94,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.89,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.18,0.41,149.37,-0.54,1.1,171.78,-0.73,19.34,187.14,-1.79,9.14,209.26,-18.78,3.08,165.86,-23.59,-2.66,135.21,-8.14,22.49,128.37,18.24,2.9,168.13,26.83,17.17,141.33,4.33,19.36,161.5
0.0,-0.14,113.91499999999999,12.77,-0.14,113.94,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.89,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.18,0.41,149.37,-0.54,1.1,171.78,-0.74,19.34,187.13,-1.8,9.15,209.26,-18.78,3.07,165.86,-23.57,-2.67,135.2,-8.13,22.49,128.37,18.24,2.92,168.12,26.8,17.16,141.29,4.25,19.4,161.4
0.0,-0.14,113.91499999999999,12.77,-0.14,113.94,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.89,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.18,0.41,149.37,-0.54,1.1,171.78,-0.75,19.34,187.13,-1.82,9.15,209.26,-18.78,3.07,165.85,-23.55,-2.67,135.19,-8.12,22.49,128.36,18.22,2.97,168.09,26.71,17.18,141.22,3.98,19.5,161.11
0.0,-0.14,113.91499999999999,12.77,-0.14,113.94,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.89,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.18,0.41,149.37,-0.54,1.1,171.78,-0.76,19.34,187.13,-1.83,9.15,209.26,-18.78,3.06,165.85,-23.53,-2.69,135.18,-8.11,22.49,128.36,18.2,3.06,168.05,26.54,17.25,141.12,3.52,19.65,160.67
0.0,-0.14,113.91499999999999,12.77,-0.14,113.94,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.89,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.19,0.41,149.37,-0.56,1.1,171.78,-0.79,19.34,187.13,-1.87,9.15,209.25,-18.79,3.05,165.84,-23.51,-2.7,135.17,-8.11,22.49,128.35,18.17,3.16,168.0,26.5,17.15,140.97,3.16,19.76,160.12
0.0,-0.14,113.91499999999999,12.77,-0.14,113.94,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.89,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.18,0.41,149.37,-0.56,1.09,171.78,-0.8,19.34,187.13,-1.88,9.15,209.25,-18.79,3.04,165.83,-23.49,-2.71,135.16,-8.1,22.48,128.35,18.16,3.18,167.96,27.0,16.51,140.76,3.4,19.64,159.5
0.0,-0.14,113.91499999999999,12.77,-0.14,113.94,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.89,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.19,0.4,149.37,-0.56,1.09,171.78,-0.82,19.34,187.12,-1.91,9.15,209.25,-18.8,3.03,165.82,-23.47,-2.73,135.15,-8.1,22.48,128.35,18.15,3.16,167.94,27.81,15.62,140.61,4.01,19.37,158.99
0.0,-0.14,113.91499999999999,12.77,-0.14,113.94,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.89,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.18,0.4,149.37,-0.56,1.09,171.78,-0.84,19.33,187.12,-1.93,9.15,209.25,-18.79,3.02,165.82,-23.45,-2.74,135.14,-8.09,22.47,128.35,18.15,3.12,167.93,28.5,14.8,140.5,4.62,19.1,158.65
0.0,-0.14,113.91499999999999,12.77,-0.14,113.94,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.89,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.18,0.4,149.37,-0.56,1.08,171.78,-0.85,19.33,187.12,-1.94,9.14,209.25,-18.79,3.0,165.81,-23.43,-2.76,135.14,-8.09,22.47,128.35,18.15,3.09,167.91,29.07,14.04,140.4,5.19,18.85,158.41
0.0,-0.14,113.91,12.77,-0.14,113.93,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.89,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.18,0.39,149.37,-0.56,1.08,171.78,-0.86,19.32,187.12,-1.95,9.14,209.25,-18.79,2.99,165.81,-23.41,-2.78,135.13,-8.08,22.47,128.35,18.16,3.04,167.9,29.54,13.23,140.29,5.75,18.6,158.26
0.0,-0.14,113.91,12.77,-0.14,113.93,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.89,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.18,0.38,149.37,-0.56,1.06,171.78,-0.89,19.3,187.13,-1.98,9.11,209.25,-18.79,2.95,165.8,-23.38,-2.81,135.12,-8.08,22.45,128.35,18.16,2.97,167.89,29.93,12.24,140.11,6.42,18.3,158.24
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.17,0.37,149.37,-0.56,1.05,171.78,-0.9,19.29,187.13,-1.99,9.1,209.25,-18.79,2.94,165.8,-23.36,-2.83,135.11,-8.08,22.45,128.35,18.16,2.89,167.87,30.2,11.12,139.88,7.17,17.98,158.33
0.0,-0.14,113.91,12.77,-0.14,113.93,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.89,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.18,0.38,149.37,-0.57,1.06,171.78,-0.92,19.3,187.12,-2.01,9.12,209.25,-18.8,2.94,165.79,-23.35,-2.83,135.1,-8.07,22.45,128.34,18.16,2.82,167.85,30.3,10.13,139.65,7.81,17.69,158.5
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.18,0.37,149.37,-0.58,1.05,171.78,-0.95,19.3,187.12,-2.05,9.11,209.25,-18.8,2.91,165.78,-23.32,-2.86,135.09,-8.07,22.44,128.34,18.16,2.77,167.85,30.18,9.56,139.48,8.16,17.51,158.7
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.17,0.37,149.37,-0.57,1.04,171.78,-0.95,19.28,187.12,-2.05,9.09,209.25,-18.8,2.9,165.78,-23.3,-2.87,135.08,-8.06,22.43,128.34,18.16,2.75,167.85,29.87,9.63,139.36,8.1,17.52,158.91
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.18,0.36,149.37,-0.58,1.03,171.78,-0.98,19.28,187.12,-2.08,9.09,209.25,-18.8,2.88,165.77,-23.28,-2.89,135.07,-8.06,22.43,128.34,18.16,2.78,167.86,29.29,10.26,139.3,7.68,17.68,159.2
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.17,0.35,149.37,-0.57,1.01,171.78,-0.98,19.25,187.13,-2.08,9.05,209.25,-18.79,2.85,165.77,-23.26,-2.92,135.07,-8.05,22.41,128.35,18.17,2.8,167.88,28.54,11.22,139.29,7.05,17.92,159.57
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.17,0.35,149.37,-0.58,1.02,171.78,-1.01,19.26,187.13,-2.11,9.07,209.25,-18.8,2.84,165.76,-23.24,-2.93,135.06,-8.05,22.41,128.34,18.16,2.86,167.9,27.73,12.28,139.35,6.3,18.19,159.93
0.0,-0.14,113.91,12.77,-0.14,113.92,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.9,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.16,0.33,149.37,-0.56,0.97,171.78,-1.01,19.21,187.14,-2.1,9.0,209.25,-18.78,2.79,165.76,-23.21,-2.97,135.05,-8.04,22.4,128.36,18.17,2.88,167.91,27.02,13.2,139.43,5.61,18.4,160.23
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.17,0.34,149.37,-0.58,1.0,171.78,-1.05,19.24,187.13,-2.15,9.04,209.25,-18.8,2.8,165.75,-23.19,-2.98,135.04,-8.05,22.39,128.35,18.14,2.97,167.91,26.53,13.85,139.5,5.04,18.62,160.32
0.0,-0.14,113.91,12.77,-0.14,113.92,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.9,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.17,0.34,149.37,-0.58,0.99,171.78,-1.06,19.23,187.13,-2.17,9.03,209.25,-18.8,2.79,165.74,-23.17,-2.99,135.03,-8.03,22.39,128.35,18.13,3.03,167.9,26.31,14.28,139.57,4.51,18.85,160.1
0.0,-0.14,113.91,12.77,-0.14,113.92,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.9,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.16,0.33,149.37,-0.58,0.98,171.78,-1.08,19.22,187.13,-2.18,9.01,209.25,-18.8,2.76,165.74,-23.15,-3.02,135.02,-8.03,22.38,128.35,18.12,3.11,167.87,26.27,14.57,139.62,4.0,19.08,159.66
0.0,-0.14,113.91,12.77,-0.14,113.92,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.9,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.16,0.32,149.37,-0.58,0.97,171.78,-1.1,19.2,187.13,-2.2,9.0,209.25,-18.8,2.74,165.74,-23.13,-3.04,135.01,-8.03,22.37,128.35,18.1,3.18,167.83,26.38,14.72,139.65,3.64,19.27,159.14
0.0,-0.14,113.91499999999999,12.77,-0.14,113.92,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.91,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.16,0.32,149.37,-0.58,0.97,171.78,-1.11,19.21,187.13,-2.22,9.0,209.25,-18.8,2.73,165.73,-23.11,-3.05,135.0,-8.02,22.37,128.35,18.08,3.23,167.79,26.56,14.71,139.65,3.49,19.39,158.73
0.0,-0.14,113.91499999999999,12.77,-0.14,113.92,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.91,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.16,0.31,149.37,-0.58,0.96,171.78,-1.11,19.19,187.13,-2.23,8.99,209.25,-18.8,2.72,165.72,-23.09,-3.05,135.0,-8.01,22.37,128.35,18.08,3.21,167.75,26.81,14.52,139.61,3.66,19.37,158.55
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.14,0.28,149.37,-0.55,0.91,171.78,-1.1,19.14,187.15,-2.21,8.91,209.25,-18.77,2.67,165.73,-23.06,-3.09,135.0,-8.0,22.35,128.37,18.09,3.14,167.7,27.21,14.11,139.55,4.15,19.2,158.53
0.0,-0.14,113.91499999999999,12.77,-0.14,113.92,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.91,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.16,0.3,149.37,-0.58,0.94,171.78,-1.15,19.18,187.13,-2.26,8.97,209.25,-18.8,2.68,165.71,-23.05,-3.1,134.98,-8.0,22.35,128.35,18.06,3.12,167.65,27.64,13.58,139.46,4.77,19.01,158.57
0.0,-0.14,113.91499999999999,12.77,-0.14,113.92,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.91,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.16,0.3,149.37,-0.59,0.94,171.78,-1.17,19.18,187.13,-2.29,8.97,209.25,-18.8,2.68,165.71,-23.04,-3.1,134.97,-8.0,22.35,128.35,18.05,3.06,167.6,28.06,12.98,139.37,5.41,18.79,158.64
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.14,0.28,149.37,-0.57,0.91,171.78,-1.15,19.14,187.14,-2.27,8.92,209.25,-18.78,2.64,165.71,-23.01,-3.13,134.97,-7.98,22.34,128.36,18.07,2.98,167.56,28.36,12.44,139.27,5.94,18.62,158.69
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.15,0.28,149.37,-0.57,0.91,171.78,-1.17,19.14,187.14,-2.29,8.92,209.25,-18.79,2.64,165.7,-22.99,-3.14,134.96,-7.98,22.33,128.36,18.06,2.94,167.54,28.53,11.94,139.16,6.34,18.56,158.7
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.15,0.28,149.37,-0.57,0.91,171.78,-1.18,19.14,187.14,-2.31,8.92,209.25,-18.79,2.63,165.7,-22.98,-3.15,134.96,-7.97,22.33,128.36,18.06,2.9,167.52,28.63,11.38,139.01,6.74,18.53,158.71
